id,key,value,type
4970189,NHS,yes,regular
4970189,hgv,designated,regular
4970189,ref,CA 92,regular
4970189,name,J Arthur Younger Freeway,regular
4970189,lanes,2,regular
4970189,oneway,yes,regular
4970189,bicycle,no,regular
4970189,highway,motorway,regular
4970189,maxspeed,55 mph,regular
4970189,source:maxspeed,sign,maxspe
4970189,hgv:national_network,yes,nat
4970189,source:hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,hgv:na
5149040,foot,yes,regular
5149040,bicycle,no,regular
5149040,highway,track,regular
5149040,motorcar,no,regular
5149040,motorcycle,no,regular
5149917,name,Hillside Avenue,regular
5149917,highway,residential,regular
5149917,maxspeed,25 mph,regular
5149917,sidewalk,left,regular
6319820,name,Stanford Avenue,regular
6319820,highway,residential,regular
6319820,cycleway,lane,regular
6319820,tiger:cfcc,A41,cfcc
6319820,tiger:county,"Alameda, CA",count
6319820,tiger:reviewed,no,revie
6323786,highway,residential,regular
6323786,tiger:cfcc,A41,cfcc
6323786,tiger:tlid,125023977,tlid
6323786,tiger:county,"Alameda, CA",count
6323786,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6323786,tiger:reviewed,no,revie
6323786,tiger:separated,no,separ
6323786,tiger:upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,uploa
6325632,name,Jamie Way,regular
6325632,highway,residential,regular
6325632,tiger:cfcc,A41,cfcc
6325632,tiger:tlid,125016249:125038941:125038943:125041602:125041604,tlid
6325632,tiger:county,"Alameda, CA",count
6325632,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6325632,tiger:zip_left,94541,zip_l
6325632,tiger:zip_right,94541,zip_r
6325632,tiger:upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,uploa
6326935,name,Rock Rose Court,regular
6326935,highway,residential,regular
6326935,tiger:cfcc,A41,cfcc
6326935,tiger:tlid,125022683,tlid
6326935,tiger:county,"Alameda, CA",count
6326935,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6326935,tiger:reviewed,no,revie
6326935,tiger:zip_left,94544,zip_l
6326935,tiger:name_base,Rock Rose,name_
6326935,tiger:name_type,Ct,name_
6326935,tiger:separated,no,separ
6326935,tiger:zip_right,94544,zip_r
6326959,name,Victor Avenue,regular
6326959,highway,residential,regular
6326959,created_by,Potlatch 0.8a,regular
6326959,tiger:cfcc,A41,cfcc
6326959,tiger:tlid,125004523:125004546:125004550:125004554,tlid
6326959,tiger:county,"Alameda, CA",count
6326959,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6326959,tiger:reviewed,no,revie
6326959,tiger:zip_left,94619,zip_l
6326959,tiger:name_base,Victor,name_
6326959,tiger:name_type,Ave,name_
6326959,tiger:separated,no,separ
6326959,tiger:zip_right,94619,zip_r
6327093,name,Tobago Lane,regular
6327093,highway,residential,regular
6327093,tiger:cfcc,A41,cfcc
6327093,tiger:tlid,125007224,tlid
6327093,tiger:county,"Alameda, CA",count
6327093,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6327093,tiger:reviewed,no,revie
6327093,tiger:zip_left,94502,zip_l
6327093,tiger:name_base,Tobago,name_
6327093,tiger:name_type,Ln,name_
6327093,tiger:separated,no,separ
6327093,tiger:zip_right,94502,zip_r
6327122,name,Briarwood Drive,regular
6327122,highway,residential,regular
6327122,tiger:cfcc,A41,cfcc
6327122,tiger:tlid,125022122:125059774:125081073:125060054,tlid
6327122,tiger:county,"Alameda, CA",count
6327122,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6327122,tiger:reviewed,no,revie
6327122,tiger:zip_left,94544,zip_l
6327122,tiger:name_base,Briarwood,name_
6327122,tiger:name_type,Dr,name_
